1024,8,32.2581,26.86
1024,32,32.2581,29.39
1024,64,32.2581,27.83
1024,128,32.2581,27.34
4096,8,129.0323,26.32
4096,32,129.0323,26.9
4096,64,125,27.49
4096,128,129.0323,27.88
16384,8,470.5882,27.22
16384,32,500,26.52
16384,64,516.129,26.61
16384,128,516.129,27.19
65536,8,1394.1457,26.83
65536,32,1756.4322,26.65
65536,64,1882.3529,26.81
65536,128,1873.7419,26.61
262144,8,2867.3433,26.88
262144,32,4911.2709,26.72
262144,64,5050.5548,26.95
262144,128,5174.9844,26.95
1048576,8,4127.9917,26.86
1048576,32,9911.6757,26.87
1048576,64,10079.36,26.88
1048576,128,10214.4639,26.9
2097152,8,4387.7879,26.88
2097152,32,11887.5389,26.88
2097152,64,12321.1125,26.81
2097152,128,12581.302,26.87
